LOC,CyclomaticComplexity,HalsteadVolume,HalsteadDifficulty,NumberOfBugs,FanIn,FanOut,CommentDensity,defect
152,16,307.86952671860195,19.137776312516774,4,2,9,0.8283770227226185,1
485,15,291.9920894336929,1.757374209914504,1,9,7,0.3383675612335604,0
910,8,46.51807788098747,46.48760956679855,1,4,9,0.518881820812009,0
320,14,613.4686906400979,21.9810232675484,4,4,1,0.6581134971947706,0
156,8,507.6522329965729,48.36608613313981,3,2,4,0.7371774205391018,1
121,16,60.96396373748946,48.21737887737339,1,8,8,0.467477446356938,1
750,13,285.8599995942453,42.79746331790064,3,3,3,0.7736731320149678,0
70,18,909.1832271069871,15.427995711409698,1,4,5,0.715134193052318,1
664,15,247.1662717603027,19.869788701494336,1,3,0,0.1529887822814927,0
171,13,153.44592337031085,42.70569690432599,2,4,8,0.13668901312370638,1
516,9,494.5582326747874,16.529178252657605,1,6,0,0.596644547537673,0
264,15,985.7939495694947,9.305144587618532,0,8,4,0.37793072658033144,1
380,13,249.6347187963854,28.283261860459156,4,6,3,0.26730463286281136,1
508,1,675.4141919318198,46.87158393387827,4,4,2,0.5637199475773907,1
137,7,764.0034191754304,35.10546003707368,3,9,5,0.37325056836523607,0
422,9,245.26116855247568,28.932997334378882,1,9,1,0.5298107333712561,0
149,1,730.934185125741,5.761648194767658,0,6,2,0.46809532718685765,1
921,12,374.1053013920607,31.135354108259317,3,9,4,0.567812884759323,0
713,8,635.9827722876437,49.5126386551089,2,4,8,0.4202403911282251,1
180,11,637.1944136532858,7.864116746589677,3,2,1,0.6581340589575454,1
711,19,540.4169372340109,26.3981529658231,3,6,9,0.24405381787943883,0
358,17,99.38687235386422,43.991280524469815,1,1,7,0.6572011729816631,1
819,8,836.9494706333456,37.29766226995602,2,8,1,0.42932897148602256,0
393,3,327.5722643220185,35.15377130876813,3,9,4,0.7994540838835337,1
541,3,194.6533252958557,35.42172011536835,0,9,6,0.5121888438913688,1
463,1,50.367390139216276,18.615066409768005,0,0,7,0.8784882794160834,0
855,5,594.9840137563594,15.386000368960175,4,5,0,0.5815483164327682,0
435,10,680.7887182238596,40.658696618447166,2,6,5,0.2790792527250565,1
241,7,26.42195063857759,40.695556339279854,2,7,0,0.7574325094755594,0
326,9,516.9721277162882,43.48654361042508,4,9,1,0.3760661022579094,0
210,7,234.23081744595856,45.748787075267096,3,8,0,0.3780953715861468,0
509,9,648.7210625053553,26.05577754418595,2,1,4,0.12544374518813212,0
363,8,182.62276471494152,25.57429843967278,0,9,9,0.538972247365927,0
71,12,694.0283607214413,40.11646376937198,0,1,8,0.5275388029860184,0
302,2,392.86799283753203,32.84823260811049,1,4,5,0.38479318741758894,0
797,1,937.3626888493671,35.39637698562746,2,4,0,0.8153738103167406,0
906,16,146.1457347045333,39.99384080236895,3,5,0,0.20299871863971514,0
610,5,347.65568753975595,44.61026174906075,4,2,1,0.36407961064812433,0
524,3,122.33878602818318,17.561762685725256,4,7,8,0.3572662117440232,0
108,12,925.4466820957772,19.403564679357256,3,0,2,0.17383246898299687,0
560,8,878.5659598471713,5.605115052202581,1,5,0,0.48491631524503453,0
731,3,265.362211438004,29.335726908812525,4,3,4,0.6502277736768665,0
525,1,663.3842055738372,2.761171416040362,2,0,6,0.509325610837809,1
749,3,819.0499781992037,23.81430288849055,1,6,5,0.225582146172955,0
832,5,559.6488034834678,27.589587100671256,2,8,0,0.4018287721936581,1
239,15,534.3540725724464,15.040521354285936,0,3,4,0.10207601950691725,1
736,14,249.43376799144716,29.950829767881526,1,3,4,0.7946408856284695,0
612,3,102.17174012784022,2.494512247013422,4,5,5,0.16761360614454557,1
925,1,898.2436003737935,2.830061248711506,1,2,2,0.5778224658043445,1
616,5,901.4138765916972,41.307427472323255,1,5,4,0.8890055966934521,0
293,14,636.7704427005352,18.64934142915188,1,6,6,0.5292725167898661,0
881,7,345.63949313821365,7.225965119942354,1,9,4,0.8392334072859465,1
554,9,355.7174788665343,26.589919742685414,2,9,4,0.28889322649392346,1
180,15,728.6961220815369,38.72968410183193,0,2,4,0.7079643271500685,0
534,15,898.1391573530514,11.575230347345316,3,6,9,0.5250126031788273,1
868,10,888.2155600224661,31.521633315131012,1,2,9,0.6764128491131719,1
696,13,782.0767903990476,5.182025784694632,4,1,2,0.14987309000899318,1
70,19,645.6113296927449,3.5324043372617773,1,9,0,0.21819127352498136,1
890,7,93.29856534509834,27.03637694683925,4,3,4,0.20649354286998262,1
216,17,170.01242695366764,27.49112095889522,2,7,8,0.6497324043226649,0
323,4,899.5686466418084,32.23406517341212,4,8,0,0.775552538106903,0
437,5,610.364769062994,36.578475352410415,3,6,2,0.6996929856068699,0
650,7,19.10508110046335,48.8167518936642,0,0,3,0.12437772218687533,1
365,13,110.45682743737179,26.29871706675857,4,2,0,0.7937719848597786,0
63,15,666.8667514169753,16.824867174121053,4,8,0,0.3833173366345004,0
291,11,15.0109680077565,39.96412354366648,0,0,7,0.41773106600326604,0
826,4,169.19997090332367,14.270780311841637,3,8,1,0.18389533322598473,0
395,13,553.2464514729203,22.509599614576167,1,7,7,0.6899241648750553,1
614,7,694.9762457157664,4.844362685771031,4,0,6,0.24582710278076647,1
947,19,655.4416469075745,2.242186427357418,0,5,9,0.5511720736150691,0
389,2,232.0266163659542,48.169772319218325,2,4,9,0.7725679887023449,0
141,10,715.0574291340605,41.963025905098085,0,5,1,0.17136346296964494,0
416,13,244.87659662183208,35.1027360985912,2,9,5,0.5282684512124188,0
504,6,332.14570117767505,21.038694276299225,3,4,5,0.286573129239841,0
477,12,749.0264910668438,9.491421683471444,1,5,2,0.3743414914226082,0
558,12,653.1365700567425,8.665415090883215,0,4,1,0.47917595314444494,0
825,11,850.7311763892361,13.261902010065171,4,4,0,0.38408344262344385,0
992,7,661.03676337734,27.912106570599903,3,3,5,0.6190582722332608,0
84,1,572.6255173021169,36.01520021230306,0,2,4,0.48366568140340016,0
255,1,102.73802014981155,33.34967145916883,4,2,8,0.5673595877713354,0
130,13,374.0386450288392,14.7167609503512,0,3,0,0.6894579803159303,0
981,9,272.5503440049082,47.78839875249651,2,8,6,0.54619381276035,1
611,3,251.54974694529275,37.15694891809266,0,1,4,0.5692283477286073,0
921,7,973.2804492049211,28.163348573058634,0,8,4,0.551566834018113,0
437,6,399.1667474200928,30.97431656548326,0,0,1,0.4030181007610315,1
51,8,893.1260896253422,21.560403058961704,3,0,2,0.3699574670975345,0
439,9,634.8272397372903,13.138818485556715,0,4,6,0.8197179177160099,1
615,5,796.863190506232,18.44266125391182,4,5,5,0.5860441778348583,0
155,1,507.61072217414016,38.13445941275409,2,5,1,0.2954825243717236,1
821,19,581.1348457800955,1.7052809428580376,2,2,5,0.4985981582791522,1
871,10,497.59251688067525,6.687559384838895,0,6,1,0.3642787850247312,1
526,12,203.29055792006406,3.2541294590658847,3,8,1,0.8469534590078996,1
752,15,725.2275941088902,2.9957113136295366,3,9,1,0.10602749050725979,0
451,9,287.96463881644723,42.917568616539356,4,7,2,0.2802662381700226,0
779,17,34.0728067671393,35.47923510962116,0,5,1,0.3922854557392461,1
605,17,649.0175729480961,24.234517625278933,2,7,3,0.49024784064699034,0
211,12,185.33957261297846,5.7938738718990725,3,4,8,0.780654014268917,1
251,7,941.0539985093851,25.089177880724787,0,7,5,0.1703100996321151,0
319,2,954.3892912325615,24.200116768247717,3,9,0,0.7446919093929147,0
912,3,915.715746318244,9.486891625590744,3,3,7,0.14452279148558028,0
